1,25,17,36,1,1,0
1,25,17,8,2,1,0
0,20,11,26,1,1,0
1,23,11,22,1,1,0
1,23,11,33,2,1,0
0,23,11,29,1,1,0
0,23,11,32,2,1,0
0,22,11,26,1,1,0
1,24,11,13,1,1,0
0,23,6,1,1,1,0
0,23,6,9,2,1,0
0,20,11,19,1,1,0
0,19,2,29,1,1,0
0,19,2,10,2,1,0
0,34,11,29,1,0,0
1,19,11,4,1,1,0
1,19,11,8,2,1,0
1,18,11,15,1,1,0
0,23,11,19,1,1,0
0,39,11,9,1,1,0
1,27,11,7,1,0,0
1,27,11,15,2,1,0
0,20,11,28,1,1,0
0,34,11,9,1,1,0
0,34,11,33,2,1,0
0,22,11,9,1,1,0
1,21,11,13,1,1,0
1,23,11,10,1,1,0
1,21,7,26,1,1,0
0,50,11,29,1,0,0
1,42,7,10,1,0,0
0,23,11,10,1,1,0
1,27,1,38,1,1,0
0,24,11,22,1,0,0
0,26,14,7,1,1,0
1,22,17,22,1,1,0
0,25,11,29,1,0,0
1,21,11,26,1,1,0
1,29,11,10,1,1,0
0,21,15,36,1,1,0
0,20,11,10,1,1,0
0,20,11,26,2,1,0
0,17,11,10,1,1,0
1,24,17,10,1,1,0
1,24,17,26,2,1,0
0,18,11,19,1,1,0
1,28,11,10,1,1,0
1,23,11,10,1,1,0
1,23,11,26,2,0,0
0,25,11,10,1,1,0
0,17,11,19,1,1,0
1,22,11,19,1,1,0
0,18,11,9,1,1,0
0,18,11,33,2,1,0
1,21,17,15,1,1,0
0,17,11,19,1,1,0
1,23,11,10,1,1,0
0,18,11,19,1,1,0
1,20,4,14,1,1,0
1,20,4,5,2,1,0
1,27,11,9,1,1,0
0,18,1,10,1,1,0
0,18,1,26,2,1,0
0,32,11,9,1,1,0
1,22,11,13,1,1,0
0,20,11,26,1,1,0
0,25,15,29,1,0,0
0,25,15,10,2,1,0
0,17,11,9,1,1,0
1,18,11,17,1,1,0
1,21,11,28,2,0,0
0,20,11,19,1,1,0
0,21,11,10,1,1,0
0,21,11,13,1,1,0
0,22,11,27,1,1,0
0,27,1,9,1,1,0
1,26,11,26,1,1,0
1,25,11,19,1,0,0
0,21,17,19,1,1,0
1,24,2,10,1,1,0
0,21,11,9,1,1,0
1,21,11,13,1,1,0
1,29,2,10,1,0,0
1,21,17,19,1,1,0
0,22,9,29,1,0,0
1,25,12,19,1,1,0
0,21,11,26,1,1,0
0,22,11,19,1,1,0
0,25,11,23,1,1,0
1,50,9,28,1,1,0
0,21,2,9,1,1,0
0,19,11,26,1,1,0
0,19,11,10,2,1,0
1,23,11,10,1,1,0
1,23,11,26,2,0,0
1,21,11,10,1,1,0
1,25,11,18,1,1,0
1,29,11,3,1,0,0
0,23,11,19,1,1,0
0,23,11,3,2,1,0
1,20,14,36,1,1,0
1,22,11,26,1,1,0
1,18,11,2,1,1,0
1,20,11,19,1,1,0
0,23,11,26,1,1,0
1,19,17,15,1,1,0
1,20,11,10,1,1,0
1,22,11,15,1,1,0
1,22,11,16,1,1,0
1,22,11,5,2,1,0
1,18,6,18,1,1,0
1,27,11,34,1,0,0
0,19,11,2,1,1,0
0,19,11,19,2,1,0
0,17,6,19,1,1,0
0,19,11,19,1,1,0
1,27,2,2,1,1,0
1,22,11,13,1,1,0
1,22,11,2,2,1,0
1,27,6,10,1,1,0
1,27,6,28,2,1,0
1,22,2,18,1,1,0
1,22,17,19,1,1,0
1,22,17,22,2,1,0
1,25,11,19,1,1,0
1,24,5,14,1,1,0
1,21,3,26,1,1,0
0,38,4,13,1,1,0
0,38,4,2,2,1,0
0,26,11,10,1,1,0
1,19,9,22,1,1,0
0,20,11,10,1,1,0
0,20,11,29,2,1,0
1,23,11,19,1,1,0
1,19,4,19,1,1,0
0,22,11,10,1,1,0
1,23,18,6,1,1,0
1,23,18,16,2,1,0
0,20,11,1,1,1,0
0,17,11,19,1,1,0
0,21,11,19,1,1,0
0,19,16,9,1,1,0
1,20,14,36,1,1,0
0,21,11,26,1,1,0
1,28,11,26,1,1,0
1,27,6,9,1,1,0
1,26,11,18,1,1,0
1,27,6,10,1,0,0
1,27,6,9,2,1,0
1,22,11,37,1,1,0
1,22,11,27,2,1,0
0,26,11,23,1,1,0
0,19,11,19,1,1,0
1,19,2,13,1,1,0
0,23,11,9,1,1,0
0,23,11,33,2,1,0
1,20,11,19,1,1,0
1,20,11,19,1,1,0
1,23,11,37,1,1,0
0,54,11,29,1,0,0
0,20,11,19,1,1,0
1,20,11,22,1,1,0
0,20,11,19,1,1,0
1,32,11,22,1,1,0
0,26,11,10,1,1,0
0,26,11,30,2,1,0
1,21,11,10,1,0,0
0,22,11,10,1,1,0
1,21,6,10,1,1,0
1,17,11,37,1,1,0
1,17,11,26,2,1,0
1,26,17,10,1,1,0
1,22,11,2,1,1,0
1,22,11,22,2,1,0
0,20,11,19,1,1,0
0,20,11,22,2,1,0
1,19,11,19,1,1,0
1,20,11,19,1,1,0
1,21,11,19,1,1,0
1,18,7,14,1,1,0
0,19,11,26,1,1,0
1,24,11,19,1,1,0
1,23,11,13,1,1,0
1,18,11,19,1,1,0
1,32,7,10,1,1,0
0,20,11,19,1,1,0
1,22,11,8,1,1,0
1,22,14,6,1,1,0
0,29,10,8,1,1,0
1,23,11,7,1,0,0
1,23,3,15,1,1,0
1,22,11,9,1,1,0
1,22,11,11,2,1,0
1,22,11,26,1,1,0
1,27,18,15,1,1,0
1,19,15,10,1,1,0
0,39,17,26,1,1,0
0,39,17,23,2,1,0
0,21,11,19,1,1,0
0,21,11,22,2,0,0
1,21,11,10,1,1,0
0,26,11,26,1,1,0
0,26,11,10,2,1,0
0,23,11,29,2,1,0
0,22,17,26,2,0,0
1,18,11,13,1,1,0
0,25,11,5,1,1,0
1,24,1,19,1,1,0
0,21,14,10,1,1,0
0,21,14,30,2,1,0
1,24,11,29,1,1,0
0,18,11,19,1,1,0
1,17,11,19,1,1,0
1,23,11,26,1,1,0
1,29,11,2,1,0,0
1,29,11,18,2,1,0
1,19,9,10,1,1,0
1,23,11,10,1,1,0
1,23,11,26,2,1,0
0,23,11,26,1,1,0
1,19,11,9,1,1,0
0,19,1,22,1,1,0
1,23,11,26,1,0,0
1,21,10,19,1,1,0
0,24,11,22,1,1,0
0,24,11,19,2,1,0
0,20,11,26,1,1,0
0,20,11,26,1,1,0
0,20,11,10,2,1,0
1,17,20,18,1,1,0
0,20,11,6,1,1,0
1,19,11,10,1,1,0
0,21,11,19,1,1,0
